"group","title","link","location","experience","description","requirements","benefits","work_location_detail","working_time","deadline","salary_raw","salary_normalized","currency_unit","skills"
"Khác","QA Engineer","https://www.topcv.vn/viec-lam/senior-leader-qa-engineer/1894560.html?ta_source=ITJobs_LinkDetail","TP. Hồ Chí Minh","3","Test newly developed software and record any functional and non-functional issues
Implement testing procedures and oversee the QA process
Create test cases and test documentation
Participate in new feature/functionality discussions
Review specification and design documents to identify risk areas
Perform pre- and post-deploy testing and provide final QA approval
Help troubleshoot issues and live incidents
Work closely with development teams","Manage the feature testing and/or regular regression testing, help the team to deliver high-quality products Continuous improvement and research of testing process, skills, techniques, quality, and efficiency Responsible for the team’s complexity assessment, testing strategy, and coordination with other stakeholders. This role can be extended to a leadership role. Review the team’s test case coverage and follow up on test progress and testing issues. Continuously develop plans and processes to maintain and improve the team’s testing capability. Continuously develop plans and processes to maintain the team’s knowledgebase Assess and develop team members’ skills and capabilities through training and guidance.","Competitive income package
Fantastic yet professional working environment
Unlimited potential for the career path
Other benefits will surprise you","- Hồ Chí Minh: 14 đường 39, P. An Khánh, Quận 2","Thứ 2 - Thứ 6 (từ 09:00 đến 18:00)","2025-10-30","Thoả thuận","","VND",""
"Khác","IOS Developer","https://www.topcv.vn/viec-lam/ios-developer-swift-c/1608572.html?ta_source=ITJobs_LinkDetail","Hà Nội","2","Tham gia phát triển và tối ưu các ứng dụng iOS để có hiệu năng cao, UI mượt mà.
Phối hợp cùng team để xây dựng tính năng mới và cải tiến sản phẩm hiện có.
Nghiên cứu, áp dụng công nghệ và design pattern hiện đại vào sản phẩm.
Giải quyết các vấn đề kỹ thuật phức tạp, đảm bảo trải nghiệm người dùng tốt nhất.","Thành thạo Swift, Xcode, Git. Có khả năng viết C++ khi cần tích hợp hoặc xử lý hiệu năng cao. Kỹ năng xử lý UI tỉ mỉ, chính xác, chú trọng trải nghiệm người dùng. Đã từng tham gia phát triển và triển khai các ứng dụng iOS thực tế. Nắm vững các design pattern: Clean Architecture, MVVM, VIPER… Đam mê công nghệ, có tinh thần học hỏi và nghiên cứu. Có khả năng nghiên cứu, phân tích và đưa ra giải pháp cho các bài toán phức tạp.","Chế độ đãi ngộ:
- Lương đàm phán theo chuyên môn và kinh nghiệm.
- Thưởng: thưởng kết quả công việc; thưởng đột xuất khác; thưởng các ngày lễ, Tết;
- Phụ cấp: phụ cấp ăn trưa, điện thoại, đi lại; phụ cấp trách nhiệm
- Phúc lợi xã hội: bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp
Sức khỏe & đời sống văn hóa tinh thần:
- Chế độ nghỉ phép, nghỉ ngày lễ theo quy định của Nhà nước
- Chế độ nghỉ mát hàng năm
- Chế độ thai sản
- Khám sức khỏe định kỳ hàng năm
- Thăm hỏi, động viên, giúp đỡ tinh thần và vật chất cho nhân viên: cưới hỏi, bệnh tật, tai nạn, việc hiếu
- Tặng quà các cháu thiếu nhi dịp Quốc tế thiếu nhi, tết Trung thu
- Tổ chức, khuyến khích các hoạt động thể thao tăng cường sức khỏe và tình đoàn kết
- Chúc mừng sinh nhật nhân viên hàng tháng
- Liên hoan, picnic, team building định kỳ
- Các hoạt động văn hoá, văn nghệ, TDTT: Cầu lông, bóng đá, thanh nhạc...
Đào tạo phát triển nhân viên:
- Đào tạo nhân viên mới
- Đào tạo nâng cao chuyên môn, nghiệp vụ; giới thiệu xu hướng công nghệ mới
- Đào tạo lực lượng quản lý, lãnh đạo kế cận.","- Hà Nội: Tòa nhà Viwaseen 48 đường Tố Hữu, phường Trung Văn, Nam Từ Liêm","Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)","2025-11-01","Thoả thuận","","VND","Git"
"Khác","IT Comtor","https://www.topcv.vn/viec-lam/it-comtor-tieng-nhat-n2-tro-len-nghi-t7-cn/1889547.html?ta_source=ITJobs_LinkDetail","Hà Nội","1","- Thực hiện dịch thuật tài liệu, biên – phiên dịch trong phạm vi dự án được phân công;
- Phân tích, làm rõ và truyền đạt yêu cầu giữa các bên liên quan, đảm bảo thông tin đầy đủ, rõ ràng và chính xác;
- Hỗ trợ thiết lập và duy trì kênh giao tiếp thông suốt trong quá trình triển khai dự án;
- Tham gia hỗ trợ các công việc vận hành dự án ở mức cơ bản, đồng thời học hỏi kiến thức, kỹ năng về quản lý dự án;
- Hỗ trợ theo dõi và quản lý tiến độ dự án từ giai đoạn lập kế hoạch đến khi bàn giao sản phẩm;
- Hỗ trợ quản lý, phối hợp xử lý các vấn đề phát sinh và tham gia xác nhận nghiệm thu sản phẩm.","[Yêu cầu chung] - Ít nhất 1 năm kinh nghiệm làm việc có liên quan - Trình độ học vấn tối thiểu: cử nhân - Tiếng Nhật tương đương N2 trở lên - Kỹ năng giao tiếp tốt [Nice to have] - Có kiến thức cơ bản về IT - Có kinh nghiệm làm việc ở vị trí Developer hoặc Tester - Đã từng học tập hoặc làm việc tại Nhật","- Chế độ làm việc linh hoạt Flexible time (7:30 AM - 06:30PM) làm việc 8h/ngày, chế độ work from home 1 ngày/ tuần
- Xét tăng lương và thưởng 2 lần/năm
- Bảo hiểm sức khỏe Bảo Việt, khám sức khỏe hàng năm ở bệnh viện uy tín
- Chế độ chăm sóc phụ nữ: nghỉ phụ nữ tối đa 5h/tháng; nghỉ sau sinh cho nhân viên nữ có con dưới 1 tuổi 1h/ngày.
- Trợ cấp chứng chỉ Năng lực tiếng Nhật JLPT một lần (tối đa 10 triệu VND)
- Du lịch Công ty, các câu lạc bộ bóng đá, bơi, gym ...","- Hà Nội: Discovery Complex, 302 Cầu Giấy, Dịch Vọng, Cầu Giấy, Cầu Giấy","Thứ 2 - Thứ 6 (từ 07:30 đến 18:30)
Thời gian làm việc 8 tiếng/ngày","2025-10-25","Tới 1,000 USD","24000000","VND",""
"Khác","AI Engineer","https://www.topcv.vn/viec-lam/middle-ai-engineer/1903880.html?ta_source=ITJobs_LinkDetail","TP. Hồ Chí Minh","2","Coordinate Complex AI Tasks: Design agents capable of managing intricate tasks like multi-database SQL queries or automated workflows.
Implement Intelligent Constraints: Create constraints to guide user interactions with LLMs, ensuring alignment with task objectives.
Team Collaboration: Participate in meetings with stakeholders to understand workflows, providing insights, and educating teams on LLM capabilities and limitations.
Prompt Design: Craft creative LLM prompts to guide the model toward specific tasks, ensuring alignment with desired outcomes.
Software Development: Construct robust software solutions to process LLM responses and enable seamless integration with existing applications.
Meeting Participation: Actively engage in design meetings, standups, and planning sessions to collaboratively develop and deliver solutions.","From 2 to 4 years of experience as an AI Developer. Expertise in Large Language Models: Experience working with state-of-the-art LLMs like GPT-4, Llama 2, and other open-source models. Technical Skills: Proficiency in Python or C# and adeptness in modern development environments, including Git, Anaconda, PIP, Docker, and Cloud services. Data Engineering Skills: Experience working with Semantic Kernel, LangChain, and VectorDB. Prompt Engineering: Hands-on experience in prompt engineering to guide LLMs effectively. Application Development: Demonstrable skills in developing LLM-based applications such as chatboxes, virtual assistants, and virtual agents Up-to-date Knowledge: Must be current with the latest technologies, frameworks, and news in LLM and AI. Production-Grade Coding: Ability to develop production-ready standalone libraries, going beyond typical ""notebook code."" Problem-Solving and Communication: Individual contributor mindset with robust problem-solving and communication skills. Previous Work: Must be able to share previous work with LLM interfaces and code repositories during the interview process. Language: Fluent in English (both verbal and written).","Dynamic and flexible environment with positive team mates
Competitive income with commission for new deal and annual performance bonus
Opportunity to develop your career path
Opportunity to work with caliber project with client in Vietnam and aboard
Premium Healthcare insurance to protect your health, and annual health check
Provide laptop for working
Annual company trip, Team Building, Happy hours, Birthday Activities...
And other benefits according to labor law.","- Hồ Chí Minh: 55 - 57 Bàu Cát 4, Tân Bình, Tân Bình","Thứ 2 - Thứ 6 (từ 08:30 đến 17:30)","2025-12-01","Thoả thuận","","VND","AI, Python, Git, Docker, Communication, communication"
"Khác","Java Developer","https://www.topcv.vn/viec-lam/java-developer/1904378.html?ta_source=ITJobs_LinkDetail","Hà Nội","1","Develop and maintain web applications & backend systems using Java and related frameworks.
Participate in requirement analysis, system design, development, and testing.
Design and manage databases, optimize queries, and handle data processing.
Write clean, maintainable, and optimized code.
Collaborate with team members to ensure quality and timely project delivery.
Debug, troubleshoot, and improve application performance.
Perform additional tasks as assigned by management.","At least 2 years of experience in Java development. Proficiency in one or more Java frameworks such as Spring (Spring Boot, Spring MVC), Hibernate, Struts, JSF, Quarkus, Micronaut... Experience with MySQL, PostgreSQL, Oracle, or other RDBMS. Familiarity with HTML, CSS, JavaScript is a plus. Hands-on experience with Git for version control. Strong understanding of OOP, SOLID principles, and Design Patterns. Experience with CI/CD tools (Jenkins, Docker) is an advantage. Good teamwork, communication, and time management skills. Willingness to learn and stay updated with new technologies.","Competitive Salary: Includes performance-based bonuses.
13th-Month Salary & Additional Bonuses: Project bonuses, business performance bonuses, and other incentives based on individual and team achievements.
Health & Insurance: Participation in FPTCare insurance for both employees and their families, including periodic health check-ups.
Overseas Assignments: Opportunities for short-term or long-term overseas assignments.
Dynamic Work Environment: Modern office, open and creative spaces that foster collaboration and idea exchange.
Continuous Development: Both hard and soft skills development through practical work experience and professional training programs.
Technology Access: Exposure to the latest technology trends.
Annual Leave & Vacations: 12 days of annual leave, 3 additional summer vacation days, and public holidays as per regulations.
Annual Salary Review: Regular salary reviews to ensure competitiveness.
Housing/Vehicle Support: Consideration for housing or vehicle purchases.
Cultural Activities: Participation in exciting cultural events and activities organized by FPT IS and the FPT Corporation.","- Hà Nội: Keangnam Tower, Nam Từ Liêm","Thứ 2 - Thứ 6 (từ 08:30 đến 17:30)","2025-11-07","20 - 40 triệu","30000000","VND","Java, Java, Spring Boot, MySQL, PostgreSQL, HTML, CSS, JavaScript, Git, CI/CD, Jenkins, Docker, teamwork, communication"
"Khác","Network Engineer","https://www.topcv.vn/viec-lam/network-engineer/1903611.html?ta_source=ITJobs_LinkDetail","TP. Hồ Chí Minh","1","- Thiết kế và triển khai các giải pháp mạng, máy chủ, bao gồm mạng LAN, WAN, WLAN và mạng trung tâm dữ liệu (Data Center).
- Cấu hình các thiết bị mạng như router, switch, firewall và load balancer, server và các giải pháp giám sát mạng.
- Xử lý sự cố và khắc phục các vấn đề mạng, đảm bảo hiệu suất hoạt động tối ưu.
- Cập nhật thường xuyên các công nghệ mạng mới và áp dụng các thông lệ tốt nhất trong ngành.
- Làm việc với các đối tác bên ngoài và nhà cung cấp dịch vụ để phối hợp dịch vụ mạng và xử lý sự cố.
- Tham gia bảo trì các hệ thống datacenter của khách hàng và lập báo cáo bảo trì.
- Sẵn sàng hỗ trợ đồng nghiệp trong công việc.","- Tốt nghiệp đại học chuyên ngành Công nghệ Thông tin, Kỹ thuật hoặc các ngành liên quan. - Hiểu sâu về các giao thức mạng (TCP/IP, mô hình OSI) và các công nghệ mạng (LAN, WAN, VPN, định tuyến, chuyển mạch, tường lửa). - Có kinh nghiệm triển khai mạng sử dụng thiết bị của Cisco, Fortinet, Checkpoint. - Thành thạo trong việc sử dụng các công cụ thiết kế và triển khai mạng. - Kỹ năng phân tích và xử lý sự cố tốt. - Kỹ năng giao tiếp và làm việc nhóm hiệu quả. - Tỉ mỉ, cẩn thận và có khả năng làm việc độc lập. - Ưu tiên ứng viên có các chứng chỉ chuyên môn như CCNA, CCNP, NSE4, PCNSA, PCNSE hoặc tương đương.","- Được làm việc trên thiết bị phần cứng của các hãng nổi tiếng như: IBM, HP, Juniper Network, Cisco, Checkpoint, Palo Alto, EMC, NetApp, Ruckus, Mcafee, Symantec, SonicWALL, Fortinet, Watchguard, DELL, Barracuda, Astaro, Alcatel-Lucent, Aruba, Avaya...
- Được thực hành trên các thiết bị lab hiện đại của công ty.
- Có cơ hội phát triển thành Team Leader, Project Management trực tiếp tham gia thiết kế và quản lý các dự án.
- Hưởng các chế độ phúc lợi theo quy định của nhà nước.
- Tham gia các kỳ team building, du lịch do Công ty tổ chức.","- Hồ Chí Minh","Thứ 2 - Thứ 7 (từ 08:00 đến 17:00)
Nghỉ trưa 1h","2025-11-06","Thoả thuận","","VND",""
"Khác","Nhân Viên Tester","https://www.topcv.vn/viec-lam/nhan-vien-tester-qc/1904342.html?ta_source=ITJobs_LinkDetail","Hà Nội","2","Trong suốt hành trình hơn 30 năm tiên phong, MISA tự hào là công ty hàng đầu Việt Nam cung cấp giải pháp chuyển đổi số toàn diện SaaS (Software-as-a-Service) với gần 60 sản phẩm, ứng dụng cho 350.000 khách hàng là cơ quan nhà nước, doanh nghiệp, hộ kinh doanh và 3.5 triệu khách hàng cá nhân tại Việt Nam và 22 quốc gia trên thế giới. MISA vinh dự khi được đồng hành cùng các Bộ, ban, ngành trong chương trình Chuyển đổi số quốc gia, tự động hóa hoạt động quản lý, kinh doanh, giúp nâng cao năng suất và góp phần vào sự phát triển chung của Việt Nam.
Với tinh thần ""Nỗ lực sáng tạo vì một thế giới thông minh bằng sản phẩm công nghệ trí tuệ Việt"", chúng tôi mong muốn được đồng hành cùng bạn, kiến tạo nên những thành tựu đột phá.
Chi tiết công việc:
Chịu trách nhiệm kiểm soát chất lượng phần mềm của Công ty trước khi phát hành
Lập kế hoạch test, xây dựng testcase, thực hiện test, log bug và kiểm soát tiến độ xử lý
Tiếp nhận feedback, bug report của khách hàng và đốc thúc đội dự án cùng xử lý
Hỗ trợ tiếp nhận, làm rõ requirements hoặc tham gia xây dựng tài liệu mô tả nghiệp vụ khi cần","Tốt nghiệp CĐ, ĐH chuyên ngành CNTT, Khoa học máy tính, Hệ thống thông tin hoặc các chuyên ngành liên quan Có ít nhất 2 năm kinh nghiệm thực tế tham gia test dự án phần mềm Tư duy test hướng nghiệp vụ, hướng người dùng Nắm rõ về các phương pháp và công cụ test Hiểu rõ quy trình test sản phẩm phần mềm Kỹ năng xây dựng test case nghiệp vụ, data test tốt, mô tả bug rõ ràng, dễ hiểu Có khả năng viết tài liệu Giao tiếp tốt, tư duy logic tốt, trách nhiệm cao với công việc","Tiên phong công nghệ, uy tín
MISA là doanh nghiệp CNTT xuất sắc nhất khu vực Châu Á - Châu Đại Dương. Tiên phong xuất khẩu giải pháp SaaS
TOP đầu doanh nghiệp CNTT tăng trưởng liên tục với quy mô nhân sự tăng 20%/năm, doanh thu tăng 15%/nămHội tụ 3000 nhân tài cùng khát vọng đưa sản phẩm công nghệ “Make In Vietnam”
vươn tầm quốc tế
Xây dựng niềm tin với 350.000 khách hàng là đơn vị HCSN, doanh nghiệp, 2.5 triệu khách hàng cá nhân tại Việt Nam và 22 quốc gia
Hơn 100 giải thưởng trong ngành CNTT trong nước và quốc tế
Nền tảng vững chắc cho phát triển sự nghiệp, thăng tiến, quyền lợi
Lương cứng cạnh tranh. Thưởng năng suất dựa trên kết quả công việc từ 2 tháng lương.
Đánh giá review lương 2 lần/năm, thưởng sáng kiến...
Huấn luyện “Hổ tướng”: chương trình đào tạo quản lý tài năng, bệ phóng trở thành Chiến tướng tinh nhuệ
Giải thưởng “Gấu vàng"": nơi tôn vinh những tài năng xuất sắc nhất
Gói chăm sóc sức khỏe toàn diện tại Medlatec, cháy hết mình tại các CLB theo sở thích, chương trình teambuilding, du lịch định kỳ
Môi trường thân thiện, chia sẻ, đồng hành
Kết nối tài năng: tập trung phát triển những con người có chung lý tưởng, mục tiêu, cùng trao giá trị và nhận thành công
Tư duy đột phá: môi trường tôn trọng sự khác biệt và đề cao sáng tạo, MISA-er được tự do phát triển các ý tưởng tiến bộ, cải tiến công việc
Công nghệ cao: trang bị máy tính làm việc, tối ưu hiệu suất công việc bằng ứng dụng công nghệ, phần mềm tự động (AMIS, Jira, Power BI, AI Marketing,...)
Nơi làm việc hạnh phúc: MISA mong muốn tạo một môi trường làm việc để bạn luôn cảm thấy hạnh phúc","- Hà Nội: Tòa N03T1 Ngoại Giao Đoàn, Xuân Tảo, Bắc Từ Liêm","Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)","2025-11-07","Thoả thuận","","VND",""
"Khác","Backend Developer","https://www.topcv.vn/viec-lam/backend-developer/1904206.html?ta_source=ITJobs_LinkDetail","TP. Hồ Chí Minh","1","Tham gia phát triển hệ thống phần mềm giao dịch chứng khoán tại thị trường chứng khoán Việt Nam.
Phát triển các tính năng mới, cải tiến và nâng cấp các tính năng nhằm đáp ứng được các nhu cầu nghiệp vụ.
Phối hợp cùng đội ngũ BA phân tích, thiết kế, đưa ra giải pháp để phát triển dự án phần mềm.
Tham gia triển khai các dự án phát triển phần mềm.","Thành thạo một trong các ngôn ngữ lập trình: C/C++, C#. Có kinh nghiệm làm việc với DBMS: Oracle, MS SQL, MySQL, PostgreSQL,… Có kinh nghiệm làm việc với các công cụ như SVN, GIT. Am hiểu về OOP, cấu trúc dữ liệu Tuyệt vời hơn nếu bạn: Đã có kinh nghiệm phát triển, triển khai các ứng dụng doanh nghiệp hoặc phát triển các sản phẩm liên quan đến chứng khoán. Hiểu biết về ProC, PL/SQL. Hiểu biết về hệ điều hành Linux: CetOS , Oracle Linux. Có kinh nghiệm làm việc với Jira Có tinh thần học hỏi với những điều mới, những công nghệ mới. Khả năng tư duy trong giải quyết vấn đề. Khả năng làm việc nhóm tốt.","Môi trường làm việc chuyên nghiệp, năng động và thân thiện.
Được đào tạo về kỹ thuật và quy trình làm việc.
Chế độ bảo hiểm đầy đủ theo quy định của Pháp luật.
Lương tháng 13, thưởng Lễ và Tết.
Tham gia các hoạt động team building, du lịch hàng năm.","- Hồ Chí Minh: Quận 1","Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)","2025-11-07","Thoả thuận","","VND","SQL, MySQL, PostgreSQL, Linux"
"Khác","Quản Trị Cơ Sở Dữ Liệu","https://www.topcv.vn/viec-lam/ky-thuat-quan-tri-co-so-du-lieu-dba-thu-nhap-upto-35-trieu-dong-1-nam-kinh-nghiem/1897732.html?ta_source=ITJobs_LinkDetail","Hà Nội","1","Cài đặt, xây dựng hệ thống CSDL cho toàn bộ phần mềm của Công ty
Quản trị toàn bộ hệ thống CSDL của các ứng dụng/phần mềm: Oracle, SQL Server,...
Tối ưu hệ thống, truy vấn CSDL (câu lệnh query SQL)
Đảm bảo công tác sao lưu định kỳ, khôi phục dữ liệu
Giám sát các điểm bất thường của hệ thống CSDL
Xử lý các vấn đề trên hệ thống CSDL
Hỗ trợ thực hiện các yêu cầu tác động lên các hệ thống CSDL
Xây dựng hướng dẫn xử lý sự cố, bảo dưỡng, ứng cứu thông tin, chuẩn hóa quy trình, quy định vận hành khai thác; đào tạo cho các đơn vị về hệ thống, nghiệp vụ
Nghiên cứu các giải pháp, tính năng mới, triển khai các dự án mới liên quan tới CSDL","Có ít nhất 1 năm kinh nghiệm ở vị trí tương đương. Kỹ năng đáp ứng các mô tả công việc nêu trên Trình độ Đại học trở lên.","Lương 15.000.000 – 35.000.000 đồng/tháng (hoặc thỏa thuận theo năng lực ứng viên)
Thời gian làm việc: từ 8h00 – 12h00 và 13h30 – 17h30 (Thứ 2 – Thứ 6) sẵn sàng làm ngoài giờ do đặc thù công việc
Thời gian thử việc: 02 tháng (Nhận 85% mức lương chính thức
Hưởng ít nhất 13 tháng lương/năm, và các khoản thưởng Tết, thưởng năng suất, thưởng hoàn thành theo dự án và thưởng cá nhân tiêu biểu.
Đảm bảo đầy đủ chế độ BHXH, BHYT, nghỉ phép theo quy định của nhà nước.
Hưởng chế độ phúc lợi hàng năm: Nghỉ mát, du lịch, hiếu hỷ....
Thường xuyên được tham gia các lớp đào tạo nâng cao kỹ năng chuyên môn và nghề nghiệp.
Công ty tạo mọi điều kiện để nhân viên có cơ hội thăng tiến phát huy tốt nhất khả năng của mình, giúp nhân viên tìm được vị trí công việc phù hợp với năng lực.
Môi trường làm việc trẻ trung, hòa đồng và gắn kết.","- Hà Nội: số 2 Nguyễn Hoàng, Nam Từ Liêm","Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)
Thứ 2 - thứ 6: 8h - 17h30, nghỉ trưa từ 12h - 13h30
Thứ 7, Chủ nhật: Nghỉ
Lễ, Tết: nghỉ theo quy định nhà nước.","2025-11-01","15 - 35 triệu","25000000","VND",""
"Khác","Nhân Viên Kỹ Thuật","https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-in-an-thu-nhap-den-17-trieu-tai-duc-hoa/1895830.html?ta_source=ITJobs_LinkDetail","Long An","1","Vận hành và điều chỉnh máy in chuyên sản xuất ốp lưng điện thoại theo yêu cầu kỹ thuật.
Kiểm tra chất lượng sản phẩm sau khi in để đảm bảo đạt tiêu chuẩn kỹ thuật và thẩm mỹ.
Phát hiện và xử lý kịp thời các sự cố trong quá trình vận hành máy.
Đề xuất cải tiến quy trình sản xuất để tăng hiệu quả và chất lượng sản phẩm.
Bảo trì, bảo dưỡng định kỳ các thiết bị liên quan.
Hỗ trợ các công việc liên quan đến sản xuất theo phân công của quản lý.","Tốt nghiệp trung cấp/cao đẳng/đại học ngành liên quan. Có kinh nghiệm tối thiểu [1 năm] trong lĩnh vực in ấn Biết sơ bộ về phần mềm photoshop Sẵn sàng làm việc theo ca, chăm chỉ, có tinh thần trách nhiệm cao.","Mức lương: Từ 12 - 17 triệu, Thỏa thuận theo năng lực
Cơ hội phát triển nghề nghiệp trong môi trường chuyên nghiệp.
Các chế độ bảo hiểm đầy đủ và các quyền lợi khác theo quy định của công ty.","- Long An: Lô O17 đường số 4, CCN Hải Sơn Đức Hòa Đông, Đức Hoà","Thứ 2 - Thứ 7 (từ 07:30 đến 16:30)","2025-10-31","12 - 17 triệu","14500000","VND",""
